Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
35-44,Expat – Asian,Business owner,"Below 10,000",7294,Investor,Likely,"500,000–1,000,000",775566,Villa/Townhouse,Jumeirah Village Circle,Self-use,Agents,Very important,"Rental yield,Other,Developer reputation","Security,Parking",Less than 1 week,"Fake listings,Other,Lack of analytics/data",No,No,Yes,Rarely,Agent,Physical visit,Yes,1,Maybe
25-34,Expat – Arab,Employed,"10,000–20,000",14592,First-time buyer,Likely,"2,000,000–5,000,000",3364241,Apartment,"Other,Jumeirah Village Circle,Palm Jumeirah",Self-use,Agents,Very important,"Price per sq.ft,Resale value","Swimming pool,Other",More than 3 months,"Too many listings,Fake listings,Lack of analytics/data",No,No,Maybe,Daily,Online reviews,Physical visit,No,5,Maybe
25-34,Expat – Arab,Employed,"60,000+",87373,Investor,Likely,"500,000–1,000,000",616334,Apartment,"Jumeirah Village Circle,Dubai Marina",Vacation home,"Social media,Agents,Property portals",Somewhat important,"Price per sq.ft,Developer reputation","Shopping mall,Swimming pool",1–3 months,"Too many listings,Lack of analytics/data",No,Somewhat,Yes,Weekly,Social media influencers,Online photos only,No,4,Maybe
25-34,Expat – Asian,Employed,"Below 10,000",8240,Renter,Very likely,"2,000,000–5,000,000",3836853,Villa/Townhouse,"Downtown Dubai,Palm Jumeirah,Jumeirah Village Circle",Self-use,Agents,Neutral,"Developer reputation,Price per sq.ft,Rental yield",School nearby,Less than 1 week,"Confusing legal process,Not enough info on returns",Yes,Somewhat,Maybe,Daily,Friends,Agent video call,No,4,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",27173,Investor,Very likely,"1,000,000–2,000,000",1318526,Apartment,"Business Bay,Downtown Dubai",Self-use,"Property portals,Friends/Family,Company recommendations",Very important,"Price per sq.ft,Location","Shopping mall,Parking",1–3 months,"Too many listings,Fake listings,Not enough info on returns",Yes,No,Maybe,Weekly,Self,Agent video call,No,4,No
35-44,Expat – Asian,Employed,"Below 10,000",6657,First-time buyer,Very likely,"500,000–1,000,000",701916,Apartment,Downtown Dubai,Rental income,"Property portals,Agents",Very important,"Price per sq.ft,Location","Other,Gym,School nearby",2–4 weeks,"Too many listings,Confusing legal process",No,Yes,Yes,Daily,Family,Agent video call,Maybe,4,Yes
45-54,Expat – Asian,Homemaker,"40,000–60,000",38234,Investor,Very likely,"500,000–1,000,000",815218,Apartment,"Business Bay,Dubai Marina,Jumeirah Village Circle",Self-use,Property portals,Somewhat important,"Price per sq.ft,Community amenities","Security,Close to metro,Parking,Swimming pool",2–4 weeks,"Poor agent response,Lack of analytics/data",No,Somewhat,Maybe,Rarely,Family,Agent video call,Yes,2,No
35-44,Expat – Arab,Employed,"10,000–20,000",13983,Investor,Unlikely,"5,000,000+",11085908,Apartment,"Jumeirah Village Circle,Business Bay,Dubai Marina",Self-use,Property portals,Not at all important,"Location,Price per sq.ft","Shopping mall,School nearby",More than 3 months,Lack of analytics/data,Yes,No,No,Monthly,Self,Virtual tour,Maybe,4,Maybe
25-34,Expat – Asian,Business owner,"Below 10,000",5709,First-time buyer,Neutral,"1,000,000–2,000,000",1439649,Apartment,Jumeirah Village Circle,Rental income,"Property portals,Social media",Not at all important,"Location,Resale value",Gym,2–4 weeks,"Not enough info on returns,Fake listings",No,Somewhat,Yes,Weekly,Online reviews,Online photos only,Yes,4,Maybe
25-34,UAE National,Self-employed,"Below 10,000",5401,Other,Very likely,"500,000–1,000,000",749072,Commercial,"Dubai Marina,Palm Jumeirah",Rental income,"Friends/Family,Social media,Agents",Very important,"Resale value,Location,Price per sq.ft","Parking,Security,Shopping mall,Gym",1–3 months,"Confusing legal process,Not enough info on returns,Lack of analytics/data",No,No,Yes,Weekly,Family,Online photos only,Maybe,5,No
35-44,Expat – Western,Student,"10,000–20,000",11140,Renter,Very unlikely,"500,000–1,000,000",741318,Villa/Townhouse,"Downtown Dubai,Jumeirah Village Circle",Rental income,Property portals,Very important,"Developer reputation,Community amenities,Location","Security,Shopping mall,Gym",1–2 weeks,"Fake listings,Lack of analytics/data",No,Somewhat,No,Weekly,Online reviews,Virtual tour,No,4,Maybe
25-34,Expat – Arab,Self-employed,"20,000–40,000",28865,Agent,Neutral,"5,000,000+",5834835,Apartment,"Arabian Ranches,Other",Self-use,"Agents,Property portals",Somewhat important,"Price per sq.ft,Resale value,Developer reputation","Security,Parking,Swimming pool",1–3 months,"Poor agent response,Too many listings",No,No,Maybe,Monthly,Self,Online photos only,No,4,Yes
35-44,Expat – Western,Student,"20,000–40,000",16184,Renter,Unlikely,"1,000,000–2,000,000",1301364,Apartment,Jumeirah Village Circle,Self-use,Agents,Very important,"Mortgage eligibility,Community amenities","Close to metro,Swimming pool,Parking,Other",More than 3 months,Confusing legal process,Yes,Yes,Maybe,Weekly,Self,Physical visit,Maybe,4,Yes
25-34,Expat – Asian,Self-employed,"20,000–40,000",22399,Renter,Neutral,"500,000–1,000,000",826188,Apartment,"Downtown Dubai,Arabian Ranches",Rental income,"Property portals,Agents,Social media",Somewhat important,"Location,Community amenities,Resale value","Parking,School nearby,Security",1–3 months,Not enough info on returns,No,Somewhat,No,Monthly,Family,Physical visit,No,5,Maybe
35-44,Expat – Arab,Employed,"Below 10,000",9680,Investor,Unlikely,"5,000,000+",11994804,Villa/Townhouse,"Jumeirah Village Circle,Arabian Ranches,Dubai Marina",Self-use,Property portals,Not very important,"Resale value,Price per sq.ft","School nearby,Swimming pool,Parking",2–4 weeks,Too many listings,Yes,No,Maybe,Daily,Family,Physical visit,Maybe,2,Maybe
25-34,UAE National,Student,"20,000–40,000",19281,Agent,Likely,"Below 500,000",411972,Apartment,Dubai Marina,Self-use,"Property portals,Agents,Company recommendations",Not very important,"Mortgage eligibility,Location,Price per sq.ft","Parking,Shopping mall",2–4 weeks,"Lack of analytics/data,Not enough info on returns,Poor agent response",No,No,Yes,Weekly,Self,Virtual tour,Yes,3,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",19166,Investor,Likely,"500,000–1,000,000",734873,Villa/Townhouse,"Jumeirah Village Circle,Palm Jumeirah,Downtown Dubai",Self-use,Company recommendations,Not very important,"Price per sq.ft,Rental yield","Parking,Gym",More than 3 months,"Not enough info on returns,Lack of analytics/data",No,Somewhat,Yes,Rarely,Agent,Online photos only,Yes,5,Maybe
45-54,GCC National,Employed,"10,000–20,000",12414,Investor,Likely,"2,000,000–5,000,000",1936480,Villa/Townhouse,Dubai Marina,Self-use,"Property portals,Company recommendations",Very important,"Location,Price per sq.ft","Swimming pool,Security,School nearby,Parking",1–2 weeks,"Lack of analytics/data,Too many listings",No,Somewhat,No,Weekly,Family,Online photos only,Maybe,3,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",18681,Other,Unlikely,"Below 500,000",383310,Apartment,Business Bay,Self-use,"Company recommendations,Property portals,Friends/Family",Neutral,"Location,Price per sq.ft","Gym,Swimming pool",2–4 weeks,"Fake listings,Not enough info on returns",No,No,No,Weekly,Social media influencers,Agent video call,Maybe,2,No
35-44,Other,Employed,"10,000–20,000",16964,Investor,Unlikely,"2,000,000–5,000,000",3543137,Apartment,Jumeirah Village Circle,Self-use,"Agents,Property portals",Somewhat important,"Community amenities,Resale value","Security,Close to metro,Shopping mall",2–4 weeks,"Fake listings,Not enough info on returns,Poor agent response",Yes,No,Yes,Rarely,Family,Online photos only,Maybe,4,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",24775,Investor,Likely,"500,000–1,000,000",1248751,Villa/Townhouse,"Dubai Marina,Jumeirah Village Circle",Rental income,"Friends/Family,Agents",Very important,"Community amenities,Location",Gym,1–2 weeks,"Poor agent response,Confusing legal process,Lack of analytics/data",No,No,No,Daily,Social media influencers,Physical visit,No,2,No
45-54,Expat – Western,Self-employed,"40,000–60,000",59230,Renter,Neutral,"5,000,000+",6679621,Land,"Arabian Ranches,Downtown Dubai,Other",Flip/Resell,"Friends/Family,Social media",Somewhat important,"Location,Price per sq.ft","Shopping mall,School nearby",More than 3 months,"Lack of analytics/data,Poor agent response,Too many listings",No,Somewhat,Maybe,Weekly,Family,Physical visit,Maybe,2,Maybe
25-34,Expat – Western,Employed,"10,000–20,000",15589,First-time buyer,Very likely,"1,000,000–2,000,000",1584820,Apartment,"Dubai Marina,Other,Downtown Dubai",Vacation home,Friends/Family,Very important,"Location,Community amenities","Swimming pool,Security",2–4 weeks,"Too many listings,Lack of analytics/data",No,No,No,Monthly,Social media influencers,Virtual tour,Maybe,3,Maybe
45-54,UAE National,Employed,"20,000–40,000",29454,First-time buyer,Very likely,"1,000,000–2,000,000",1543623,Commercial,Dubai Marina,Self-use,"Property portals,Social media",Very important,"Location,Resale value",Swimming pool,Less than 1 week,"Too many listings,Other,Lack of analytics/data",No,Somewhat,Yes,Never,Self,Virtual tour,Maybe,3,Maybe
35-44,Expat – Asian,Employed,"10,000–20,000",18290,Investor,Very likely,"1,000,000–2,000,000",1490416,Apartment,"Arabian Ranches,Downtown Dubai",Self-use,"Property portals,Social media",Very important,"Community amenities,Location",Gym,1–2 weeks,Fake listings,No,No,No,Rarely,Agent,Online photos only,No,3,No
45-54,Expat – Arab,Homemaker,"Below 10,000",9218,First-time buyer,Very unlikely,"Below 500,000",200000,Land,Palm Jumeirah,Rental income,"Property portals,Social media,Other",Very important,"Community amenities,Resale value,Developer reputation","Parking,Shopping mall,Security",2–4 weeks,"Poor agent response,Not enough info on returns,Lack of analytics/data",No,Somewhat,Maybe,Weekly,Agent,Physical visit,Yes,3,Maybe
25-34,UAE National,Business owner,"20,000–40,000",31691,Investor,Unlikely,"5,000,000+",3696223,Villa/Townhouse,"Business Bay,Palm Jumeirah",Vacation home,Agents,Neutral,"Price per sq.ft,Developer reputation","School nearby,Swimming pool,Gym",2–4 weeks,"Lack of analytics/data,Too many listings,Poor agent response",No,Somewhat,No,Daily,Online reviews,Physical visit,Yes,1,No
45-54,Expat – Asian,Employed,"40,000–60,000",44030,First-time buyer,Likely,"500,000–1,000,000",1119325,Apartment,"Business Bay,Downtown Dubai,Arabian Ranches",Flip/Resell,"Agents,Social media,Property portals",Very important,"Location,Resale value,Price per sq.ft","Gym,Swimming pool,Security,Parking",More than 3 months,Fake listings,No,Somewhat,No,Daily,Self,Physical visit,Yes,4,Yes
25-34,Expat – Asian,Business owner,"60,000+",108138,Other,Likely,"500,000–1,000,000",668076,Commercial,"Palm Jumeirah,Downtown Dubai",Self-use,Social media,Neutral,"Location,Mortgage eligibility,Developer reputation",Security,More than 3 months,Poor agent response,No,Yes,No,Never,Family,Physical visit,Maybe,4,Maybe
25-34,Expat – Asian,Self-employed,"Below 10,000",11123,Investor,Likely,"Below 500,000",292436,Villa/Townhouse,"Business Bay,Jumeirah Village Circle",Self-use,"Friends/Family,Social media,Property portals",Somewhat important,"Resale value,Location",Security,1–2 weeks,"Fake listings,Lack of analytics/data",No,Somewhat,Maybe,Monthly,Self,Virtual tour,Maybe,2,No
55+,UAE National,Employed,"60,000+",91831,First-time buyer,Likely,"500,000–1,000,000",826346,Villa/Townhouse,"Downtown Dubai,Other,Dubai Marina",Flip/Resell,Friends/Family,Very important,"Developer reputation,Location,Community amenities",School nearby,More than 3 months,"Not enough info on returns,Confusing legal process",No,Somewhat,Yes,Daily,Family,Online photos only,No,3,No
35-44,Expat – Asian,Self-employed,"20,000–40,000",25326,Investor,Very unlikely,"500,000–1,000,000",1183812,Apartment,"Dubai Marina,Business Bay,Palm Jumeirah",Rental income,"Agents,Social media",Neutral,"Mortgage eligibility,Developer reputation,Location","Security,Shopping mall,Other",1–3 months,"Not enough info on returns,Poor agent response",Yes,Somewhat,No,Rarely,Family,Physical visit,Maybe,4,No
25-34,Expat – Asian,Employed,"10,000–20,000",17508,First-time buyer,Neutral,"Below 500,000",411641,Commercial,"Other,Jumeirah Village Circle",Self-use,"Property portals,Friends/Family",Very important,"Location,Developer reputation",Swimming pool,2–4 weeks,Fake listings,Yes,Somewhat,Yes,Daily,Family,Agent video call,No,5,Maybe
25-34,Expat – Asian,Employed,"40,000–60,000",43101,Renter,Likely,"500,000–1,000,000",817177,Apartment,"Jumeirah Village Circle,Business Bay,Arabian Ranches",Self-use,Property portals,Very important,"Rental yield,Location,Developer reputation","Parking,School nearby,Swimming pool,Other",2–4 weeks,"Lack of analytics/data,Poor agent response,Fake listings",No,No,No,Daily,Online reviews,Physical visit,Maybe,3,Maybe
45-54,Expat – Asian,Self-employed,"40,000–60,000",57656,Renter,Very likely,"1,000,000–2,000,000",1494700,Apartment,"Arabian Ranches,Jumeirah Village Circle,Dubai Marina",Rental income,"Property portals,Other,Agents",Very important,"Developer reputation,Price per sq.ft,Mortgage eligibility","Parking,Security,Gym,Shopping mall",2–4 weeks,Not enough info on returns,Yes,Somewhat,Yes,Monthly,Self,Virtual tour,No,3,Maybe
25-34,GCC National,Employed,"20,000–40,000",32845,First-time buyer,Likely,"2,000,000–5,000,000",2673680,Apartment,"Jumeirah Village Circle,Palm Jumeirah",Self-use,"Property portals,Friends/Family",Somewhat important,"Rental yield,Price per sq.ft","Close to metro,Shopping mall,Parking,Swimming pool",1–3 months,"Lack of analytics/data,Confusing legal process",No,No,Maybe,Weekly,Self,Physical visit,Maybe,3,Yes
45-54,Expat – Arab,Employed,"10,000–20,000",14372,Renter,Unlikely,"500,000–1,000,000",1211481,Villa/Townhouse,"Palm Jumeirah,Arabian Ranches,Business Bay",Self-use,"Social media,Friends/Family",Very important,"Community amenities,Mortgage eligibility,Developer reputation","Parking,Other,Shopping mall,Close to metro",2–4 weeks,Confusing legal process,No,Somewhat,No,Weekly,Family,Online photos only,Maybe,3,Yes
25-34,Expat – Asian,Business owner,"10,000–20,000",17326,Investor,Unlikely,"1,000,000–2,000,000",1162516,Commercial,Downtown Dubai,Vacation home,"Friends/Family,Agents,Social media",Somewhat important,"Price per sq.ft,Rental yield,Community amenities","Gym,Swimming pool,Close to metro",1–3 months,"Too many listings,Confusing legal process",Yes,No,No,Rarely,Self,Online photos only,Maybe,1,No
25-34,Expat – Arab,Employed,"10,000–20,000",18768,Investor,Unlikely,"500,000–1,000,000",1022072,Apartment,Jumeirah Village Circle,Flip/Resell,Company recommendations,Very important,"Resale value,Price per sq.ft,Developer reputation","Swimming pool,Parking",2–4 weeks,Poor agent response,Yes,Somewhat,Yes,Weekly,Self,Physical visit,Yes,1,Yes
45-54,Expat – Asian,Employed,"10,000–20,000",14574,Renter,Neutral,"2,000,000–5,000,000",1740557,Villa/Townhouse,"Palm Jumeirah,Dubai Marina",Self-use,"Friends/Family,Property portals,Social media",Not at all important,"Price per sq.ft,Location,Developer reputation","Close to metro,Gym,School nearby",1–2 weeks,"Fake listings,Confusing legal process,Poor agent response",No,No,Maybe,Daily,Self,Online photos only,Maybe,3,Yes
35-44,Expat – Asian,Employed,"Below 10,000",9694,Renter,Likely,"500,000–1,000,000",959905,Land,"Jumeirah Village Circle,Other",Rental income,"Property portals,Agents",Not at all important,"Price per sq.ft,Resale value","Parking,Shopping mall,Swimming pool,Security",More than 3 months,"Confusing legal process,Fake listings,Too many listings",No,No,Maybe,Weekly,Family,Physical visit,Maybe,3,No
25-34,Expat – Western,Employed,"Below 10,000",5203,First-time buyer,Likely,"1,000,000–2,000,000",1445215,Villa/Townhouse,"Jumeirah Village Circle,Other",Self-use,"Property portals,Friends/Family,Social media",Very important,"Mortgage eligibility,Rental yield,Location","Swimming pool,Security",2–4 weeks,"Lack of analytics/data,Poor agent response,Not enough info on returns",No,Yes,Yes,Daily,Family,Online photos only,Yes,5,Yes
25-34,Expat – Arab,Employed,"10,000–20,000",14147,Investor,Likely,"Below 500,000",378323,Villa/Townhouse,"Arabian Ranches,Other,Dubai Marina",Self-use,"Company recommendations,Agents,Property portals",Somewhat important,"Rental yield,Price per sq.ft,Mortgage eligibility","Shopping mall,Parking,Swimming pool,Security",2–4 weeks,"Lack of analytics/data,Poor agent response,Too many listings",Yes,Yes,Maybe,Weekly,Family,Agent video call,Maybe,4,Maybe
